Scheme Name,State,Category,Gender,Max Annual Income,Benefit
The Learning Leap,RAJASTHAN,OBC,Female,280000,19000
Idea Incubation Initiative,SIKKIM,SC,Male,300000,21000
Business Bloom Scheme,SIKKIM,EWC,Any,170000,9500
Cultivator's Catalyst,SIKKIM,GENERAL,Male,420000,24000
Igniting Innovation,TAMIL NADU,ST,Any,560000,33000
Future Forge Fellowship,TAMIL NADU,OBC,Female,210000,15500
Venture Velocity Program,TAMIL NADU,SC,Any,160000,9000
Golden Harvest Initiative,TRIPURA,EWC,Female,175000,10500
Growth Genesis Grant,TRIPURA,GENERAL,Male,490000,27500
Scholar's Spark Program,TRIPURA,ST,Female,230000,13000
Bright Futures Fund,UTTAR PRADESH,OBC,Any,235000,12500
The Pioneer Platform,UTTAR PRADESH,SC,Any,200000,10800
Business Bloom Scheme,UTTAR PRADESH,EWC,Male,490000,27000
Aspire & Achieve Program,WEST BENGAL,GENERAL,Male,410000,27000
Igniting Innovation,WEST BENGAL,ST,Female,295000,18500
Future Forge Fellowship,WEST BENGAL,OBC,Any,200000,10000
